N	Number	IDs	STRAIN	CULTURE_COLLECTION	ISOLATE	GENOTYPE	PLASMID	METAGENOME?	COMPLETENESS_ESTIMATED	CONTAMINATION_ESTIMATED	COLLECTED_BY	COLLECTION_DATE	COUNTRY (mixed up)	LAT_LON	HOST	HOST_SEX	HOST_AGE	ISOLATION_SOURCE	HOST_DISEASE	HOST_DISEASE_OUTCOME	ANTIBIOTICS	Bio Project	Pubmed	Length (T)	Complete?	Coverage	Seq Method	GCpercent	Length	Number of sequences	COUNTRY	CITY(or similar)	REGION/STATE	HOSPITAL	Comentario	Pub. Year	Proteins_Prokka	Isolation source2	ISOLATION_SOURCE_RECOD	HOST_DISEASE_RECOD	Isol Source 3	Isol Source 4	NEW_HOSPITAL	whyDeleted	whyDeleted2	Group	CRISPR_cluster	CRISPR_arrays
362	ab00362	GCA_000581435.1_ASM58143v1	781407										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194675		502877	NO		Illumina	39.1654962342735	4071857	72	USA						3766	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		4
363	ab00363	GCA_000581455.1_ASM58145v1	564012										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194636		292104	NO		Illumina	39.0856393070244	4127649	120	USA						3928	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		0
364	ab00364	GCA_000581475.1_ASM58147v1	562700										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194664		402265	NO		Illumina	39.0367576226989	3967558	64	USA						3674	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		3
365	ab00365	GCA_000581495.1_ASM58149v1	472237-1196										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194638		274840	NO		Illumina	39.1567525740204	4171587	129	USA						3976	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		0
366	ab00366	GCA_000581515.1_ASM58151v1	34654										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194657		291734	NO		Illumina	39.0553728541864	4102931	105	USA						4030	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
367	ab00367	GCA_000581535.1_ASM58153v1	34001										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194654		98724	NO		Illumina	39.100399732107	3891106	338	USA						3683	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
368	ab00368	GCA_000581555.1_ASM58155v1	29280										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194671		84392	NO		Illumina	39.1286356398576	3926991	390	USA						3725	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
369	ab00369	GCA_000581575.1_ASM58157v1	1289546										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194676		250895	NO		Illumina	39.1369005843991	4132108	133	USA						3940	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		1
370	ab00370	GCA_000581595.1_ASM58159v1	942194										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194667		164590	NO		Illumina	39.037433555271	4008783	118	USA						3752	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		4
371	ab00371	GCA_000581615.1_ASM58161v1	993520										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194631		289303	NO		Illumina	39.1731898462367	4156843	109	USA						3955	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		0
372	ab00372	GCA_000581635.1_ASM58163v1	947299										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194663		143767	NO		Illumina	39.1374577231678	4056891	306	USA						3865	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
373	ab00373	GCA_000581655.1_ASM58165v1	653020										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194670		352039	NO		Illumina	38.9315757860409	3909084	118	USA						3704	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
374	ab00374	GCA_000581675.1_ASM58167v1	662545-1347										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194658		74550	NO		Illumina	39.3059039948069	3986826	472	USA						3795	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
375	ab00375	GCA_000581695.1_ASM58169v1	532413										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194653		328256	NO		Illumina	39.0364373999741	4127682	95	USA						3945	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		1
376	ab00376	GCA_000581735.1_ASM58173v1	1277411										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194731		230864	NO		Illumina	39.1187810951164	4223332	289	USA						3970	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		0
377	ab00377	GCA_000581755.1_ASM58175v1	1096934										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194733		229869	NO		Illumina	39.0096435665561	4330037	235	USA						4010	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		3
378	ab00378	GCA_000581775.1_ASM58177v1	1106579										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194735		105470	NO		Illumina	39.037489635295	3995531	260	USA						3883	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1	unknown2566(cas9);X(321);cas1;unknown1336(DUF2188);cas3(cas2_3);BMY_2099(cas8f);csy2(cas5);csy3(cas7);csy4(cas6f)	5
379	ab00379	GCA_000581795.1_ASM58179v1	1440750										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194739		157466	NO		Illumina	38.8441810109992	4212407	399	USA						4011	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
380	ab00380	GCA_000581815.1_ASM58181v1	554515										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194748		250196	NO		Illumina	38.9868385805854	4054122	295	USA						3809	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
381	ab00381	GCA_000581855.1_ASM58185v1	83444										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194760		130436	NO		Illumina	38.9871496456095	4004481	273	USA						3923	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1	unknown2566(cas9);X(1847);csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);unknown1336(DUF2188);cas1	6
382	ab00382	GCA_000581875.1_ASM58187v1	144107										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194764		259668	NO		Illumina	39.0738682534207	3921969	80	USA						3593	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		4
383	ab00383	GCA_000581895.1_ASM58189v1	532279										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194768		767023	NO		Illumina	38.791455454156	4042532	34	USA						3693	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	2
384	ab00384	GCA_000581915.1_ASM58191v1	232184										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194770		472498	NO		Illumina	38.9874753462119	3872123	59	USA						3550	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		7
385	ab00385	GCA_000581935.1_ASM58193v1	1575710										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194775		292002	NO		Illumina	39.1331922404231	4126359	128	USA						3913	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		0
386	ab00386	GCA_000581955.1_ASM58195v1	268680										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194777		396800	NO		Illumina	38.9689202406005	3863833	43	USA						3545	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		6
387	ab00387	GCA_000581975.1_ASM58197v1	831240										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194778		262510	NO		Illumina	39.0402777809257	3970899	103	USA						3700	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
388	ab00388	GCA_000581995.1_ASM58199v1	1546444										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194750		166825	NO		Illumina	38.9676321628064	3795527	140	USA						3543	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
389	ab00389	GCA_000582015.1_ASM58201v1	1526966										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194751		307173	NO		Illumina	39.0793148144376	4025654	86	USA						3822	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		1
390	ab00390	GCA_000582035.1_ASM58203v1	43926										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194752		190611	NO		Illumina	38.9622092754393	4000479	145	USA						3742	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		4
391	ab00391	GCA_000582115.1_ASM58211v1	1291820										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194730		195390	NO		Illumina	39.0382008854471	4099172	205	USA						3848	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
392	ab00392	GCA_000582155.1_ASM58215v1	50595										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194738		189050	NO		Illumina	38.8973570043235	4026870	219	USA						3875	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
393	ab00393	GCA_000582175.1_ASM58217v1	1525283										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194741		131965	NO		Illumina	39.062038841425	3974365	185	USA						3708	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
394	ab00394	GCA_000582215.1_ASM58221v1	1552865										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194755		408912	NO		Illumina	39.0388456804358	4006932	120	USA						3806	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		1
395	ab00395	GCA_000582275.1_ASM58227v1	397971										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194762		782792	NO		Illumina	39.0019279654206	3950797	44	USA						3660	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		6
396	ab00396	GCA_000582295.1_ASM58229v1	42887										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194767		272954	NO		Illumina	39.0277236245791	3949700	54	USA						3679	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		4
397	ab00397	GCA_000582335.1_ASM58233v1	1593273										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194774		175266	NO		Illumina	38.8820690002635	4128448	272	USA						3894	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
398	ab00398	GCA_000582355.1_ASM58235v1	1417041										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194779		367883	NO		Illumina	38.9830426034524	3700686	55	USA						3399	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1	cas1;csy4(cas6f);unknown758(cas7);csy2(cas5);unknown1336;cas3(cas2_3)	5
399	ab00399	GCA_000582945.1_ASM58294v1	1552818										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194742		167775	NO		Illumina	39.2047176269196	4026092	196	USA						3816	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		1
400	ab00400	GCA_000582965.2_ASM58296v2	655378										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194769		592925	NO		PacBio	39.0287356509873	3973357	31	USA						3652	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		5
401	ab00401	GCA_000583235.1_ASM58323v1	323408										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194896		437576	NO		Illumina	38.9304853896316	4141374	97	USA						3998	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		0
402	ab00402	GCA_000583255.1_ASM58325v1	458282										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194887		258824	NO		Illumina	39.269135369596	4038477	123	USA						3782	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
403	ab00403	GCA_000583275.1_ASM58327v1	722310										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194889		457764	NO		Illumina	38.9766773358089	4043749	72	USA						3853	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1		4
404	ab00404	GCA_000583295.1_ASM58329v1	470922										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194884		197326	NO		Illumina	39.2991952932731	4223402	147	USA						4015	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
405	ab00405	GCA_000583315.1_ASM58331v1	1552389										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194888		461296	NO		Illumina	39.0281778384116	4028556	80	USA						3827	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
406	ab00406	GCA_000583335.1_ASM58333v1	1488685										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194883		438150	NO		Illumina	38.9498382317486	4114528	90	USA						3938	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		2
407	ab00407	GCA_000583355.1_ASM58335v1	1426993										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194881		248041	NO		Illumina	39.4041863276486	4233639	127	USA						3990	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
408	ab00408	GCA_000583375.1_ASM58337v1	121738										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194894		288620	NO		Illumina	39.1617888661293	4044685	94	USA						3831	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1	cas3(cas2_3);unknown1336;csy2(cas5);unknown758(cas7);csy4(cas6f);cas1	6
409	ab00409	GCA_000583415.1_ASM58341v1	472237-120										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194904		418186	NO		Illumina	39.0301599900261	4050565	91	USA						3791	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1		5
410	ab00410	GCA_000583435.1_ASM58343v1	24860_8										USA		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194918		255889	NO		Illumina	39.2063961440889	4064824	109	USA						3837					Others		A. baumannii	A. baumannii	group2		1
411	ab00411	GCA_000583455.1_ASM58345v1	7893										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194886		330319	NO		Illumina	39.2030264405007	4283580	149	USA						4104	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		2
412	ab00412	GCA_000583475.1_ASM58347v1	24812_10										USA		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194931		123796	NO		Illumina	39.2028497232801	3962490	203	USA						3821					Others		no_16S	no_16S			
413	ab00413	GCA_000583495.1_ASM58349v1	24812_4										USA		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194925		148527	NO		Illumina	39.1968637109339	4118753	193	USA						3897					Others		no_16S	no_16S			
414	ab00414	GCA_000583515.1_ASM58351v1	24812_6										USA		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194927		169068	NO		Illumina	39.1014939570565	4081041	214	USA						3836					Others		no_16S	no_16S			
415	ab00415	GCA_000583535.1_ASM58353v1	24860_10										USA		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194920		199643	NO		Illumina	39.0781172672895	4229193	263	USA						4005					Others		A. baumannii	A. baumannii	group2		1
416	ab00416	GCA_000583555.1_ASM58355v1	24860_2										USA		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194912		255780	NO		Illumina	39.3456332686049	4140889	123	USA						3861					Others		A. baumannii	A. baumannii	group2		0
417	ab00417	GCA_000583575.1_ASM58357v1	24860_4										USA		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194914		250771	NO		Illumina	39.1236814758946	4106201	155	USA						3904					Others		no_16S	no_16S			
418	ab00418	GCA_000583595.1_ASM58359v1	24860_7										USA		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194917		217526	NO		Illumina	39.1444448870751	4041493	220	USA						3813					Others		no_16S	no_16S			
419	ab00419	GCA_000584035.1_ASM58403v1	1287985										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194822		247856	NO		Illumina	39.0637847321555	3998888	113	USA						3786	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
420	ab00420	GCA_000584055.1_ASM58405v1	73736										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194817		286144	NO		Illumina	39.1323541883544	3902929	105	USA						3682	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
421	ab00421	GCA_000584075.1_ASM58407v1	10519										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194825		280975	NO		Illumina	39.2777951298022	3998893	117	USA						3744	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		0
422	ab00422	GCA_000584095.1_ASM58409v1	846928										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194824		706228	NO		Illumina	38.8697277098303	3905466	58	USA						3664	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1		1
423	ab00423	GCA_000584115.1_ASM58411v1	1045092										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194815		248629	NO		Illumina	39.1806844505168	4104548	113	USA						3878	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		0
424	ab00424	GCA_000584135.1_ASM58413v1	923118										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194784		329620	NO		Illumina	39.0720286752303	4192608	172	USA						4046	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
425	ab00425	GCA_000584155.1_ASM58415v1	836190										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194803		281431	NO		Illumina	39.1983078621122	4041751	115	USA						3845	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		0
426	ab00426	GCA_000584175.1_ASM58417v1	825610										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194798		436945	NO		Illumina	38.885339025339	4072144	136	USA						3855	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
427	ab00427	GCA_000584195.1_ASM58419v1	737393										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194811		248351	NO		Illumina	39.1566561298545	4128067	110	USA						3904	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
428	ab00428	GCA_000584235.1_ASM58423v1	655555										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194788		291702	NO		Illumina	38.9452625877929	4039906	197	USA						3882	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
429	ab00429	GCA_000584275.1_ASM58427v1	480175										USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194821		383352	NO		Illumina	39.0883568301257	4056653	82	USA						3848	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1		4
